Библиотека,Файл,Запуск,Чтение(мс),Запись(мс)
pugixml_test,data_10mb.xml,1,18,43
pugixml_test,data_10mb.xml,2,20,34
pugixml_test,data_10mb.xml,3,20,38
tinyxml2_test,data_10mb.xml,1,72,123
tinyxml2_test,data_10mb.xml,2,102,128
tinyxml2_test,data_10mb.xml,3,65,119
rapidxml_test,data_10mb.xml,1,55,369
rapidxml_test,data_10mb.xml,2,42,369
rapidxml_test,data_10mb.xml,3,46,347
pugixml_test,data_50mb.xml,1,140,157
pugixml_test,data_50mb.xml,2,81,140
pugixml_test,data_50mb.xml,3,88,155
tinyxml2_test,data_50mb.xml,1,334,591
tinyxml2_test,data_50mb.xml,2,301,561
tinyxml2_test,data_50mb.xml,3,302,603
rapidxml_test,data_50mb.xml,1,244,1718
rapidxml_test,data_50mb.xml,2,221,1740
rapidxml_test,data_50mb.xml,3,222,1717
pugixml_test,data_100mb.xml,1,-1,-1
pugixml_test,data_100mb.xml,2,-1,-1
pugixml_test,data_100mb.xml,3,-1,-1
tinyxml2_test,data_100mb.xml,1,-1,-1
tinyxml2_test,data_100mb.xml,2,-1,-1
tinyxml2_test,data_100mb.xml,3,-1,-1
rapidxml_test,data_100mb.xml,1,-1,-1
rapidxml_test,data_100mb.xml,2,-1,-1
rapidxml_test,data_100mb.xml,3,-1,-1
pugixml_test,data_200mb.xml,1,562,739
pugixml_test,data_200mb.xml,2,328,543
pugixml_test,data_200mb.xml,3,342,28085
tinyxml2_test,data_200mb.xml,1,1272,2310
tinyxml2_test,data_200mb.xml,2,1226,2534
tinyxml2_test,data_200mb.xml,3,1237,2398
rapidxml_test,data_200mb.xml,1,954,6954
rapidxml_test,data_200mb.xml,2,909,7107
rapidxml_test,data_200mb.xml,3,926,7198
